   305.000000      -100.300003       5.00000007E-02
   310.000000      -100.000000      0.130000308    
   315.000000      -99.0000000      0.300000012    
   320.000000      -97.0000000      0.500000000    
   325.000000      -94.0000000      0.800000012    
   330.000000      -89.0000000       1.29999995    
   335.000000      -81.0000000       2.00000000    
   340.000000      -69.0000000       2.70000005    
   345.000000      -54.0000000       3.50000000    
   350.000000      -34.0000000       2.90000010    
   355.000000      -25.0000000       1.39999998    
   360.000000      -20.0000000      0.699999988    
   365.000000      -18.0000000      0.500000000    
   370.000000      -15.0000000      0.600000024    
   375.000000      -12.0000000      0.400000006    
   380.000000      -11.0000000      0.150000006    
   385.000000      -10.5000000       6.99999779E-02
   390.000000      -10.3000002       3.00000198E-02
